close,high,low,open,timestamp,volume
43653,43653,43620,43620,1703727120,0.09692000
43676,43676,43652,43652,1703727180,0.07747000
43663,43669,43652,43663,1703727240,0.01065930
43673,43673,43662,43665,1703727300,0.01904875
43701,43701,43669,43675,1703727360,0.09053752
43678,43678,43678,43678,1703727420,0.00149000
43683,43683,43662,43683,1703727480,0.50099639
43671,43685,43671,43683,1703727540,0.01143000
43682,43682,43666,43682,1703727600,0.51759998
43646,43674,43646,43673,1703727660,0.02870981
43628,43629,43622,43629,1703727720,0.05988370
43619,43622,43606,43622,1703727780,0.11764913
43596,43610,43596,43607,1703727840,0.06721156
43576,43600,43576,43600,1703727900,0.16840661
43550,43572,43550,43572,1703727960,30.72980774
43559,43559,43552,43552,1703728020,0.13677527
43547,43577,43547,43577,1703728080,0.05252232
43539,43551,43539,43550,1703728140,1.68368705
43569,43569,43539,43548,1703728200,0.04225282
43550,43581,43549,43559,1703728260,1.24375726
43537,43550,43537,43550,1703728320,0.23796486
43548,43548,43529,43534,1703728380,1.20423509
43531,43550,43530,43548,1703728440,6.71343429
43519,43535,43519,43526,1703728500,2.27178400
43513,43516,43513,43516,1703728560,0.00107449
43513,43526,43513,43519,1703728620,0.60644905
43503,43527,43503,43515,1703728680,3.37271608
43466,43498,43466,43498,1703728740,4.15805332
43487,43487,43469,43469,1703728800,0.04474401
43495,43495,43480,43494,1703728860,0.00816492
43456,43496,43456,43495,1703728920,3.03801892
43422,43453,43422,43453,1703728980,6.14277033
43399,43426,43399,43426,1703729040,3.71445820
43400,43423,43393,43400,1703729100,2.31759524
43417,43417,43400,43403,1703729160,0.95026778
43396,43419,43396,43415,1703729220,6.30672150
43379,43393,43357,43393,1703729280,9.55722431
43364,43378,43360,43368,1703729340,0.21710932
43357,43373,43349,43352,1703729400,0.64500617
43399,43399,43371,43371,1703729460,0.12942000
43415,43422,43411,43411,1703729520,0.83588063
43402,43407,43402,43407,1703729580,0.04219000
43401,43408,43395,43408,1703729640,0.02501455
43444,43444,43421,43421,1703729700,0.02776908
43440,43440,43440,43440,1703729760,0.00217000
43463,43463,43444,43444,1703729820,1.00411695
43481,43481,43453,43453,1703729880,0.11573481
43480,43482,43474,43474,1703729940,0.06789597
43497,43497,43479,43480,1703730000,0.98336520
43488,43488,43488,43488,1703730060,0.00551000
43488,43488,43488,43488,1703730120,0.00000000
43422,43424,43422,43424,1703730180,0.00149301
43389,43421,43389,43421,1703730240,0.01506555
43419,43419,43397,43397,1703730300,0.14008897
43464,43464,43464,43464,1703730360,0.04825335
43449,43467,43440,43467,1703730420,0.39322763
43439,43439,43430,43430,1703730480,0.24294287
43445,43449,43445,43445,1703730540,0.00753000
43451,43451,43434,43434,1703730600,0.03823848
43453,43453,43453,43453,1703730660,0.00627000
43456,43462,43456,43461,1703730720,0.03513317
43468,43468,43461,43461,1703730780,0.01309626
43423,43443,43423,43443,1703730840,0.02538000
43425,43431,43409,43409,1703730900,0.01254000
43428,43428,43410,43410,1703730960,0.14124000
43448,43451,43448,43450,1703731020,0.00609270
43453,43453,43440,43443,1703731080,0.01528000
43453,43453,43453,43453,1703731140,0.00000000
43484,43484,43465,43465,1703731200,0.00551000
43454,43489,43454,43484,1703731260,0.00959227
43439,43450,43439,43447,1703731320,0.58045658
43441,43442,43430,43442,1703731380,0.02195589
43441,43441,43441,43441,1703731440,0.00000000
43448,43452,43437,43437,1703731500,0.00801000
43463,43463,43456,43456,1703731560,0.02157000
43481,43481,43461,43461,1703731620,0.03332000
43462,43469,43461,43468,1703731680,0.03730839
43455,43461,43455,43461,1703731740,0.05104000
43455,43455,43454,43455,1703731800,0.01024892
43432,43455,43432,43455,1703731860,1.05363994
43442,43442,43442,43442,1703731920,0.00639000
43432,43432,43430,43430,1703731980,0.08311281
43441,43441,43422,43422,1703732040,0.01311293
43426,43427,43426,43427,1703732100,0.02314908
43427,43427,43427,43427,1703732160,0.00358480
43409,43427,43402,43427,1703732220,0.29614275
43396,43401,43396,43401,1703732280,0.02875203
43394,43394,43394,43394,1703732340,0.00243000
43432,43432,43424,43424,1703732400,0.00646000
43431,43432,43430,43432,1703732460,0.11656000
43388,43426,43388,43426,1703732520,0.81873442
43396,43397,43394,43395,1703732580,0.01791938
43367,43376,43367,43376,1703732640,1.32006428
43370,43370,43370,43370,1703732700,0.00266000
43368,43368,43368,43368,1703732760,0.06491806
43370,43382,43370,43382,1703732820,0.00675000
43362,43369,43362,43369,1703732880,0.73721373
43380,43380,43363,43363,1703732940,0.26993000
43390,43390,43390,43390,1703733000,0.00030125
43398,43398,43386,43387,1703733060,0.02213875
43411,43411,43405,43406,1703733120,0.01824688
43397,43397,43392,43392,1703733180,1.19530500
43395,43395,43395,43395,1703733240,0.00231000
43397,43397,43387,43389,1703733300,0.08231000
43423,43423,43409,43409,1703733360,0.01186000
43423,43435,43423,43430,1703733420,0.01794000
43446,43446,43430,43430,1703733480,0.00813000
43440,43440,43440,43440,1703733540,0.01103000
43437,43437,43436,43436,1703733600,0.00212888
43437,43437,43437,43437,1703733660,0.00000000
43417,43427,43417,43427,1703733720,0.01317338
43440,43440,43427,43427,1703733780,0.00942371
43449,43450,43440,43440,1703733840,0.05790707
43442,43442,43442,43442,1703733900,0.01724907
43446,43446,43446,43446,1703733960,0.00661000
43432,43443,43425,43443,1703734020,0.01204428
43425,43431,43425,43431,1703734080,1.39794765
43418,43425,43418,43425,1703734140,0.01285071
43418,43422,43418,43422,1703734200,0.01365065
43416,43417,43416,43417,1703734260,0.08703156
43416,43416,43416,43416,1703734320,0.00000000
43409,43409,43397,43397,1703734380,0.02356378
43404,43416,43404,43404,1703734440,0.06267428
43387,43387,43387,43387,1703734500,0.00326000
43397,43397,43386,43386,1703734560,0.02916000
43404,43409,43403,43408,1703734620,0.01947000
43404,43404,43404,43404,1703734680,0.00000000
43390,43390,43388,43388,1703734740,0.01337526
43390,43391,43390,43391,1703734800,0.02606863
43399,43399,43392,43398,1703734860,0.04291022
43399,43399,43381,43381,1703734920,0.12063018
43416,43418,43399,43399,1703734980,0.39611564
43426,43426,43426,43426,1703735040,0.04843746
43439,43439,43426,43426,1703735100,0.08046974
43427,43439,43427,43439,1703735160,0.00683652
43428,43428,43427,43427,1703735220,0.06821000
43418,43425,43418,43425,1703735280,0.00748000
43420,43428,43414,43414,1703735340,0.01417404
43435,43438,43435,43438,1703735400,0.02074000
43435,43435,43435,43435,1703735460,0.00000000
43438,43438,43431,43432,1703735520,0.05481907
43429,43431,43429,43431,1703735580,0.00443000
43429,43429,43429,43429,1703735640,0.00000000
43393,43401,43393,43401,1703735700,0.01160697
43432,43432,43392,43400,1703735760,0.02548602
43425,43432,43425,43432,1703735820,0.00763000
43438,43442,43436,43436,1703735880,1.65289001
43445,43450,43437,43439,1703735940,0.11227313
43436,43444,43436,43444,1703736000,0.27421403
43437,43447,43436,43436,1703736060,0.23136357
43437,43437,43437,43437,1703736120,0.00000000
43449,43449,43443,43443,1703736180,0.13499476
43455,43455,43452,43452,1703736240,0.00400000
43475,43475,43449,43449,1703736300,0.01383000
43480,43480,43474,43474,1703736360,0.04768000
43505,43505,43497,43497,1703736420,0.01494000
43510,43513,43501,43501,1703736480,0.02068720
43494,43502,43494,43501,1703736540,0.00952000
43497,43504,43497,43504,1703736600,0.00204624
43510,43510,43504,43506,1703736660,0.04294548
43504,43511,43504,43511,1703736720,0.02139827
43504,43504,43503,43503,1703736780,0.00227000
43514,43514,43513,43513,1703736840,0.00284000
43556,43560,43515,43515,1703736900,1.14593013
43536,43550,43536,43547,1703736960,0.16947956
43541,43547,43528,43529,1703737020,1.02974603
43587,43587,43552,43553,1703737080,2.83613462
43574,43574,43574,43574,1703737140,0.00114042
43593,43594,43587,43587,1703737200,0.03732000
43598,43598,43594,43594,1703737260,0.01319991
43560,43584,43560,43584,1703737320,0.17674000
43536,43540,43533,43537,1703737380,0.10642000
43578,43585,43546,43546,1703737440,0.25694536
43588,43588,43575,43575,1703737500,1.05069275
43607,43607,43600,43600,1703737560,0.24331840
43607,43607,43605,43605,1703737620,2.31538731
43607,43607,43607,43607,1703737680,21.75620621
43644,43644,43607,43607,1703737740,9.30789423
43641,43641,43638,43638,1703737800,0.00703642
43616,43616,43616,43616,1703737860,0.00660000
43595,43606,43595,43606,1703737920,0.02825000
43590,43590,43582,43582,1703737980,0.00181474
43583,43583,43572,43572,1703738040,0.67643488
43569,43569,43569,43569,1703738100,0.00273000
43550,43559,43550,43555,1703738160,0.07488000
43545,43545,43536,43536,1703738220,0.00230858
43535,43535,43535,43535,1703738280,0.00641000
43513,43532,43513,43532,1703738340,0.44728603
43514,43514,43514,43514,1703738400,0.00213000
43487,43522,43487,43522,1703738460,0.19701332
43457,43482,43455,43482,1703738520,3.46882124
43414,43450,43414,43450,1703738580,0.10431031
43416,43425,43409,43425,1703738640,0.01557665
43407,43409,43404,43409,1703738700,29.61668314
43446,43449,43420,43422,1703738760,0.14667718
43421,43433,43421,43433,1703738820,0.13868000
43392,43399,43392,43399,1703738880,1.32996075
43415,43415,43390,43390,1703738940,2.84647549
43414,43416,43414,43416,1703739000,0.01145887
43385,43388,43378,43388,1703739060,1.81704705
43390,43390,43390,43390,1703739120,0.00221000
43396,43408,43388,43397,1703739180,0.17400360
43402,43406,43402,43406,1703739240,0.01463832
43390,43390,43390,43390,1703739300,0.05700000
43378,43386,43376,43386,1703739360,0.28696000
43377,43377,43377,43377,1703739420,0.00063000
43362,43376,43362,43376,1703739480,1.86093595
43347,43362,43347,43362,1703739540,2.63872624
43369,43369,43344,43344,1703739600,0.10135000
43341,43361,43341,43361,1703739660,0.89285734
43336,43356,43326,43336,1703739720,6.91433901
43373,43377,43356,43356,1703739780,0.02787951
43379,43379,43371,43371,1703739840,0.27421652
43371,43388,43371,43382,1703739900,0.07627000
43353,43372,43353,43372,1703739960,0.17124880
43322,43345,43322,43345,1703740020,0.14000000
43330,43330,43317,43322,1703740080,0.29811644
43305,43315,43305,43315,1703740140,0.01043047
43332,43336,43313,43313,1703740200,0.14555986
43233,43302,43195,43302,1703740260,16.14063858
43196,43254,43196,43254,1703740320,0.11969913
